no,date,tank,block,trt,order,sync,species,mass_mg
273,14-May,59,6,late_low,late,low,hyla,115.1
274,14-May,59,6,late_low,late,low,hyla,117.3
275,14-May,60,6,cont_low,cont,low,hyla,203.4
276,15-May,3,1,early_low,early,low,hyla,143
277,15-May,3,1,early_low,early,low,hyla,134.3
278,15-May,20,2,cont_med,cont,med,hyla,NA
279,15-May,21,3,same_med,same,med,hyla,132.5
280,15-May,21,3,same_med,same,med,hyla,110.6
281,15-May,25,3,same_low,same,low,hyla,117
283,15-May,33,4,early_low,early,low,hyla,163.6
284,15-May,44,5,same_high,same,high,hyla,134.1
285,15-May,46,5,early_high,early,high,hyla,122.2
286,15-May,46,5,early_high,early,high,hyla,139.8
287,15-May,46,5,early_high,early,high,hyla,145.3
288,15-May,48,5,early_med,early,med,hyla,183.4
289,15-May,51,6,late_med,late,med,hyla,179.1
290,15-May,52,6,early_high,early,high,hyla,NA
291,15-May,55,6,early_low,early,low,hyla,158.5
292,15-May,59,6,late_low,late,low,hyla,127.4
293,16-May,12,2,same_low,same,low,hyla,120.4
294,16-May,20,2,cont_med,cont,med,hyla,194
295,16-May,26,3,early_high,early,high,hyla,NA
296,16-May,38,4,early_med,early,med,hyla,NA
297,16-May,40,4,cont_high,cont,high,hyla,143.2
298,16-May,42,5,early_low,early,low,hyla,138
299,16-May,47,5,same_low,same,low,hyla,134.3
300,16-May,47,5,same_low,same,low,hyla,164.9
301,16-May,48,5,early_med,early,med,hyla,192.9
302,16-May,48,5,early_med,early,med,hyla,178.7
303,16-May,51,6,late_med,late,med,hyla,144.1
304,16-May,52,6,early_high,early,high,hyla,139.4
305,16-May,59,6,late_low,late,low,hyla,NA
306,16-May,59,6,late_low,late,low,hyla,129.4
307,16-May,59,6,late_low,late,low,hyla,138.1
308,16-May,60,6,cont_low,cont,low,hyla,199
309,16-May,60,6,cont_low,cont,low,hyla,235.4
310,17-May,21,3,same_med,same,med,hyla,150.6
311,17-May,22,3,same_high,same,high,hyla,122.6
312,17-May,26,3,early_high,early,high,hyla,160.3
313,17-May,32,4,same_low,same,low,hyla,167.7
