"","tank","block","trt","order","sync","surv","biom","mass","emer","emsd","rana"
"24",24,3,"early_med","early","med",0.733333333333333,5617.28455034589,169.540625,51.0606060606061,23.0758794441558,0
"25",25,3,"same_low","same","low",0.511111111111111,4174.8,181.513043478261,47,22.2220202011019,0.166666666666667
"26",26,3,"early_high","early","high",0.644444444444444,5490.68455034589,189.239285714286,50.0689655172414,13.9205168071211,0.233333333333333
"27",27,3,"late_med","late","med",0.177777777777778,2330.16910069178,324.366666666667,121.125,14.065535386692,0
"28",28,3,"late_high","late","high",0.177777777777778,1653.88455034589,208.842857142857,116.5,28.7352446607696,0.0333333333333333
"29",29,3,"early_low","early","low",0.533333333333333,4905.15365103766,206.152380952381,36.75,14.7743902986097,0
"30",30,3,"cont_low","cont","low",0.555555555555556,5579.2,223.168,32.88,9.69673484564091,0
"31",31,4,"late_low","late","low",0.288888888888889,2466.6,189.738461538462,101.769230769231,43.2861676253778,0
"32",32,4,"same_low","same","low",0.488888888888889,3850,175,50.7272727272727,29.7404355464661,0.566666666666667
"33",33,4,"early_low","early","low",0.555555555555556,4572.75365103766,181.672727272727,41.12,18.333303030278,0
"34",34,4,"same_high","same","high",0.311111111111111,2848.98455034589,204.384615384615,98.7857142857143,27.5741756873196,0.0666666666666667
"35",35,4,"same_med","same","med",0.666666666666667,5517.85365103766,183.033333333333,61.9,29.1634513827106,0.566666666666667
"36",36,4,"late_high","late","high",0.533333333333333,4756.75365103766,199.085714285714,95.7916666666667,27.3590922279273,0.1
"37",37,4,"early_high","early","high",0.777777777777778,7152.28455034589,204.714705882353,58.1142857142857,15.4325313934586,0.233333333333333
"38",38,4,"early_med","early","med",0.755555555555556,6062.78455034589,177.90303030303,47.6176470588235,25.0103187260928,0.0333333333333333
"39",39,4,"late_med","late","med",0.622222222222222,5950.8,212.528571428571,82.0357142857143,12.7351428116791,0.2
"40",40,4,"cont_high","cont","high",0.777777777777778,6222.16095311299,172.857692307692,40.7428571428571,11.1575425745332,0
"41",41,5,"late_high","late","high",0.311111111111111,2690.78455034589,192.215384615385,112.428571428571,17.8313219912614,0.0666666666666667
"42",42,5,"early_low","early","low",0.622222222222222,5493,196.178571428571,40.1071428571429,17.1557986864916,0
"43",43,5,"same_med","same","med",0.711111111111111,5965.16910069178,186.04,70.21875,26.8877407909015,0.7
"44",44,5,"same_high","same","high",0.444444444444444,3543.08455034589,176.373684210526,77.8,23.9354394811939,0.133333333333333
"45",45,5,"late_low","late","low",0.577777777777778,5031.9,193.534615384615,73.5,21.7499425286597,0.0666666666666667
"46",46,5,"early_high","early","high",0.622222222222222,4887.08455034589,173.892592592593,44.1428571428571,15.9622570707795,0
"47",47,5,"same_low","same","low",0.511111111111111,4153.78455034589,180.081818181818,49.6086956521739,23.7098735291186,0.166666666666667
"48",48,5,"early_med","early","med",0.622222222222222,5804.4,207.3,38.6428571428571,15.5806486949874,0.566666666666667
"49",49,5,"late_med","late","med",0.311111111111111,2520.96910069178,178.083333333333,115.714285714286,16.8633812260064,0.233333333333333
"50",50,5,"cont_med","cont","med",0.666666666666667,5751.15365103766,191.674074074074,43.2,15.9490568308318,0
"51",51,6,"late_med","late","med",0.444444444444444,3948.18455034589,197.694736842105,60.35,19.9242644980806,0.0666666666666667
"52",52,6,"early_high","early","high",0.555555555555556,4256.83820138355,166.138095238095,48,18.3620986454889,0.266666666666667
"53",53,6,"early_med","early","med",0.777777777777778,6642.48455034589,189.720588235294,48.9428571428571,19.7229977096653,0.333333333333333
"54",54,6,"same_high","same","high",0.422222222222222,3417.06910069178,178.417647058824,82.3684210526316,19.793968010246,0
"55",55,6,"early_low","early","low",0.488888888888889,4177.28455034589,189.77619047619,36.7272727272727,17.7607963629418,0.466666666666667
"56",56,6,"late_high","late","high",0.644444444444444,6844.88455034589,237.603571428571,87.0689655172414,14.2300763838999,0.133333333333333
"57",57,6,"same_low","same","low",0.6,4747.98455034589,175.230769230769,48.0740740740741,21.0547380487622,0.633333333333333
"58",58,6,"same_med","same","med",0.4,3061.6,170.088888888889,59.8333333333333,24.9074758444363,0.133333333333333
"59",59,6,"late_low","late","low",0.444444444444444,3649.68455034589,181.984210526316,63.05,44.2415320473278,0.0333333333333333
"60",60,6,"cont_low","cont","low",0.6,6675.38455034589,249.361538461538,33.8518518518519,10.8935538585677,0
