"","tank","sync.x","block.x","trt.x","order.x","trt.y","order.y","sd","se","ci","cont","adj","biom_cont","emer_cont","emsd_cont","mass_cont","surv_cont","X","block.y","trt","order","sync.y","surv","biom","mass","emer","emsd","rana"
"40",8,"med",1,"late_med","late","cont_med","cont",0.03,0.02,0.28,0.69,0,NA,NA,NA,NA,0.69,8,1,"late_med","late","med",0.444444444444444,4241.46910069178,214.305555555556,120.2,17.7426040929735,0.133333333333333
"41",9,"low",1,"late_low","late","cont_low","cont",0.03,0.02,0.28,0.58,0,NA,NA,NA,NA,0.58,9,1,"late_low","late","low",0.333333333333333,2900.8,193.386666666667,92.9333333333333,25.1721690610502,0
"42",9,"low",1,"late_low","late","cont_low","cont",775.1,548.1,6964.2,6127.3,0,6127.3,NA,NA,NA,NA,9,1,"late_low","late","low",0.333333333333333,2900.8,193.386666666667,92.9333333333333,25.1721690610502,0
"43",9,"low",1,"late_low","late","cont_low","cont",0.8,0.6,7.6,10.3,0,NA,NA,10.3,NA,NA,9,1,"late_low","late","low",0.333333333333333,2900.8,193.386666666667,92.9333333333333,25.1721690610502,0
"44",9,"low",1,"late_low","late","cont_low","cont",10.2,1.4,2.9,33.4,0,NA,33.4,NA,NA,NA,9,1,"late_low","late","low",0.333333333333333,2900.8,193.386666666667,92.9333333333333,25.1721690610502,0
"45",9,"low",1,"late_low","late","cont_low","cont",53.8,7.5,15.1,236.5,0,NA,NA,NA,236.5,NA,9,1,"late_low","late","low",0.333333333333333,2900.8,193.386666666667,92.9333333333333,25.1721690610502,0
"46",11,"med",2,"early_med","early","cont_med","cont",0.03,0.02,0.28,0.69,0,NA,NA,NA,NA,0.69,11,2,"early_med","early","med",0.8,7241.66910069178,201.697058823529,79.3888888888889,28.3853863586557,0
"47",11,"med",2,"early_med","early","cont_med","cont",1.3,0.9,11.9,16.9,0,NA,NA,16.9,NA,NA,11,2,"early_med","early","med",0.8,7241.66910069178,201.697058823529,79.3888888888889,28.3853863586557,0
"48",11,"med",2,"early_med","early","cont_med","cont",497.2,351.6,4467.5,6102.8,0,6102.8,NA,NA,NA,NA,11,2,"early_med","early","med",0.8,7241.66910069178,201.697058823529,79.3888888888889,28.3853863586557,0
"49",11,"med",2,"early_med","early","cont_med","cont",45.8,6.1,12.3,197.4,0,NA,NA,NA,197.4,NA,11,2,"early_med","early","med",0.8,7241.66910069178,201.697058823529,79.3888888888889,28.3853863586557,0
